ID;familia_profesional;nivel;nombre_oficial
1;Actividades Físicas y Deportivas;Grado Medio;Técnico en Conducción de Actividades Físico-Deportivas en el Medio Natural
2;Actividades Físicas y Deportivas;Grado Medio;Técnico en Guía en el Medio Natural y de Tiempo Libre
3;Actividades Físicas y Deportivas;Grado Superior;Técnico Superior en Enseñanza y Animación Sociodeportiva
4;Actividades Físicas y Deportivas;Grado Superior;Técnico Superior en Acondicionamiento Físico
5;Administración y Gestión;Grado Medio;Técnico en Gestión Administrativa
6;Administración y Gestión;Grado Superior;Técnico Superior en Administración y Finanzas
7;Administración y Gestión;Grado Superior;Técnico Superior en Asistencia a la Dirección
8;Agraria;Grado Medio;Técnico en Actividades Ecuestres
9;Agraria;Grado Medio;Técnico en Jardinería y Floristería
10;Agraria;Grado Medio;Técnico en Producción Agroecológica
11;Agraria;Grado Medio;Técnico en Producción Agropecuaria
12;Agraria;Grado Medio;Técnico en Trabajos Forestales y Conservación del Medio Natural
13;Agraria;Grado Superior;Técnico Superior en Ganadería y Asistencia en Sanidad Animal
14;Agraria;Grado Superior;Técnico Superior en Gestión Forestal y del Medio Natural
15;Agraria;Grado Superior;Técnico Superior en Paisajismo y Ruralismo
16;Artes Gráficas;Grado Medio;Técnico en Impresión Gráfica
17;Artes Gráficas;Grado Medio;Técnico en Postimpresión y Manipulados de Papel y Cartón
18;Artes Gráficas;Grado Medio;Técnico en Preimpresión Digital
19;Artes Gráficas;Grado Superior;Técnico Superior en Diseño y Edición de Publicaciones Impresas y Multimedia
20;Artes Gráficas;Grado Superior;Técnico Superior en Diseño y Gestión de la Producción Gráfica
21;Artes y Artesanías;Grado Medio;Técnico en Talleres de Arte y Artesanía
22;Artes y Artesanías;Grado Superior;Técnico Superior en Artista Fallero y Escenografía
23;Comercio y Marketing;Grado Medio;Técnico en Comercialización de Productos Alimentarios
24;Comercio y Marketing;Grado Medio;Técnico en Actividades Comerciales
25;Comercio y Marketing;Grado Superior;Técnico Superior en Comercio Internacional
26;Comercio y Marketing;Grado Superior;Técnico Superior en Gestión de Ventas y Espacios Comerciales
27;Comercio y Marketing;Grado Superior;Técnico Superior en Marketing y Publicidad
28;Comercio y Marketing;Grado Superior;Técnico Superior en Transporte y Logística
29;Edificación y Obra Civil;Grado Medio;Técnico en Construcción
30;Edificación y Obra Civil;Grado Medio;Técnico en Obras de Interior, Decoración y Rehabilitación
31;Edificación y Obra Civil;Grado Superior;Técnico Superior en Operaciones de Hormigón
32;Edificación y Obra Civil;Grado Superior;Técnico Superior en Proyecto de Edificación
33;Edificación y Obra Civil;Grado Superior;Técnico Superior en Proyectos de Obra Civil
34;Electricidad y Electrónica;Grado Medio;Técnico en Instalaciones Eléctricas y Automáticas
35;Electricidad y Electrónica;Grado Medio;Técnico en Instalaciones de Telecomunicaciones
36;Electricidad y Electrónica;Grado Superior;Técnico Superior en Automatización y Robótica Industrial
37;Electricidad y Electrónica;Grado Superior;Técnico Superior en Electromedicina Clínica
38;Electricidad y Electrónica;Grado Superior;Técnico Superior en Mantenimiento Electrónico
39;Electricidad y Electrónica;Grado Superior;Técnico Superior en Sistemas Electrotécnicos y Automatizados
40;Electricidad y Electrónica;Grado Superior;Técnico Superior en Sistemas de Telecomunicaciones e Informáticos
41;Energía y Agua;Grado Medio;Técnico en Redes y Estaciones de Tratamiento de Aguas
42;Energía y Agua;Grado Superior;Técnico Superior en Centrales Eléctricas
43;Energía y Agua;Grado Superior;Técnico Superior en Eficiencia Energética y Energía Solar Térmica
44;Energía y Agua;Grado Superior;Técnico Superior en Energías Renovables
45;Energía y Agua;Grado Superior;Técnico Superior en Gestión del Agua
46;Fabricación Mecánica;Grado Medio;Técnico en Conformado por Moldeo y Soldadura
47;Fabricación Mecánica;Grado Medio;Técnico en Mecanizado
48;Fabricación Mecánica;Grado Medio;Técnico en Soldadura y Calderería
49;Fabricación Mecánica;Grado Superior;Técnico Superior en Construcciones Metálicas
