ID;familia_profesional;nivel;nombre_oficial
1;Artes y Humanidades;Grado Universitario;Grado en Bellas Artes
2;Artes y Humanidades;Grado Universitario;Grado en Diseño
3;Artes y Humanidades;Grado Universitario;Grado en Filología Hispánica
4;Artes y Humanidades;Grado Universitario;Grado en Estudios Ingleses
5;Artes y Humanidades;Grado Universitario;Grado en Filosofía
6;Artes y Humanidades;Grado Universitario;Grado en Historia
7;Artes y Humanidades;Grado Universitario;Grado en Historia del Arte
8;Artes y Humanidades;Grado Universitario;Grado en Geografía e Historia
9;Artes y Humanidades;Grado Universitario;Grado en Humanidades
10;Artes y Humanidades;Grado Universitario;Grado en Lenguas Modernas y sus Literaturas
11;Artes y Humanidades;Grado Universitario;Grado en Traducción e Interpretación
12;Artes y Humanidades;Grado Universitario;Grado en Conservación y Restauración del Patrimonio Cultural
13;Artes y Humanidades;Grado Universitario;Grado en Arqueología
14;Artes y Humanidades;Grado Universitario;Grado en Musicología
15;Artes y Humanidades;Grado Universitario;Grado en Estudios Clásicos
16;Ciencias;Grado Universitario;Grado en Biología
17;Ciencias;Grado Universitario;Grado en Bioquímica
18;Ciencias;Grado Universitario;Grado en Biotecnología
19;Ciencias;Grado Universitario;Grado en Ciencias Ambientales
20;Ciencias;Grado Universitario;Grado en Ciencias del Mar
21;Ciencias;Grado Universitario;Grado en Física
22;Ciencias;Grado Universitario;Grado en Geología
23;Ciencias;Grado Universitario;Grado en Matemáticas
24;Ciencias;Grado Universitario;Grado en Química
25;Ciencias;Grado Universitario;Grado en Ciencia y Tecnología de los Alimentos
26;Ciencias;Grado Universitario;Grado en Estadística
27;Ciencias;Grado Universitario;Grado en Microbiología
28;Ciencias de la Salud;Grado Universitario;Grado en Medicina
29;Ciencias de la Salud;Grado Universitario;Grado en Enfermería
30;Ciencias de la Salud;Grado Universitario;Grado en Farmacia
31;Ciencias de la Salud;Grado Universitario;Grado en Fisioterapia
32;Ciencias de la Salud;Grado Universitario;Grado en Odontología
33;Ciencias de la Salud;Grado Universitario;Grado en Psicología
34;Ciencias de la Salud;Grado Universitario;Grado en Veterinaria
35;Ciencias de la Salud;Grado Universitario;Grado en Nutrición Humana y Dietética
36;Ciencias de la Salud;Grado Universitario;Grado en Podología
37;Ciencias de la Salud;Grado Universitario;Grado en Terapia Ocupacional
38;Ciencias de la Salud;Grado Universitario;Grado en Logopedia
39;Ciencias de la Salud;Grado Universitario;Grado en Óptica y Optometría
